,Date,Area,Deaths,Cases,Tests
0,2020-09-03,England,11,1507,
1,2020-09-02,England,7,1239,124283.0
2,2020-09-01,England,2,1041,127673.0
3,2020-08-31,England,2,1149,131179.0
4,2020-08-30,England,1,1487,132419.0
5,2020-08-29,England,12,891,136798.0
6,2020-08-28,England,9,1106,151520.0
7,2020-08-27,England,10,1350,148033.0
8,2020-08-26,England,13,875,129698.0
9,2020-08-25,England,16,1065,110927.0
10,2020-08-24,England,3,758,135586.0
11,2020-08-23,England,4,938,139922.0
12,2020-08-22,England,17,1060,154337.0
13,2020-08-21,England,2,908,147400.0
14,2020-08-20,England,6,1035,149876.0
15,2020-08-19,England,15,707,133540.0
16,2020-08-18,England,11,975,119749.0
17,2020-08-17,England,3,634,141677.0
18,2020-08-16,England,3,952,151129.0
19,2020-08-15,England,2,934,140694.0
20,2020-08-14,England,10,1284,134390.0
21,2020-08-13,England,18,1059,149005.0
22,2020-08-12,England,15,925,125938.0
23,2020-08-11,England,11,1035,115067.0
24,2020-08-10,England,17,699,128267.0
25,2020-08-09,England,5,988,127949.0
26,2020-08-08,England,2,679,135987.0
27,2020-08-07,England,5,796,141284.0
28,2020-08-06,England,15,826,128998.0
29,2020-08-05,England,12,804,122633.0
30,2020-08-04,England,17,617,110730.0
31,2020-08-03,England,1,856,105564.0
32,2020-08-02,England,2,676,115939.0
33,2020-08-01,England,11,722,123374.0
34,2020-07-31,England,14,814,131615.0
35,2020-07-30,England,0,812,123316.0
36,2020-07-29,England,29,700,115724.0
37,2020-07-28,England,21,547,69019.0
38,2020-07-27,England,3,616,88063.0
39,2020-07-26,England,7,721,118070.0
40,2020-07-25,England,15,710,120140.0
41,2020-07-24,England,32,688,109838.0
42,2020-07-23,England,9,702,113828.0
43,2020-07-22,England,16,519,107701.0
44,2020-07-21,England,25,399,71073.0
45,2020-07-20,England,10,535,86833.0
46,2020-07-19,England,10,672,107264.0
47,2020-07-18,England,9,796,137799.0
48,2020-07-17,England,25,635,129343.0
49,2020-07-16,England,23,597,116621.0
50,2020-07-15,England,24,506,100377.0
51,2020-07-14,England,42,372,64198.0
52,2020-07-13,England,8,497,
53,2020-07-12,England,9,615,
54,2020-07-11,England,16,806,
55,2020-07-10,England,34,480,
56,2020-07-09,England,29,617,
57,2020-07-08,England,52,606,
58,2020-07-07,England,50,572,
59,2020-07-06,England,11,331,
60,2020-07-05,England,18,492,
61,2020-07-04,England,27,579,
62,2020-07-03,England,45,502,
63,2020-07-02,England,31,523,
64,2020-07-01,England,90,177,
65,2020-06-30,England,47,196,
66,2020-06-29,England,17,99,
67,2020-06-28,England,28,142,
68,2020-06-27,England,34,192,
69,2020-06-26,England,76,175,
70,2020-06-25,England,91,261,
71,2020-06-24,England,74,107,
72,2020-06-23,England,84,210,
73,2020-06-22,England,13,178,
74,2020-06-21,England,30,215,
75,2020-06-20,England,67,324,
76,2020-06-19,England,73,323,
77,2020-06-18,England,60,281,
78,2020-06-17,England,90,252,
79,2020-06-16,England,106,252,
80,2020-06-15,England,25,219,
81,2020-06-14,England,23,292,
82,2020-06-13,England,94,372,
83,2020-06-12,England,117,392,
84,2020-06-11,England,64,304,
85,2020-06-10,England,143,63,
86,2020-06-09,England,179,651,
87,2020-06-08,England,44,92,
88,2020-06-07,England,49,228,
89,2020-06-06,England,126,422,
90,2020-06-05,England,239,451,
91,2020-06-04,England,112,431,
92,2020-06-03,England,218,462,
93,2020-06-02,England,228,444,
94,2020-06-01,England,79,294,
95,2020-05-31,England,39,320,
96,2020-05-30,England,117,715,
97,2020-05-29,England,246,560,
98,2020-05-28,England,315,519,
99,2020-05-27,England,396,609,
100,2020-05-26,England,105,492,
101,2020-05-25,England,86,494,
102,2020-05-24,England,362,584,
103,2020-05-23,England,197,979,
104,2020-05-22,England,257,1083,
105,2020-05-21,England,220,854,
106,2020-05-20,England,259,824,
107,2020-05-19,England,447,857,
108,2020-05-18,England,134,816,
109,2020-05-17,England,43,788,
110,2020-05-16,England,348,1136,
111,2020-05-15,England,280,1112,
112,2020-05-14,England,303,1189,
113,2020-05-13,England,362,1146,
114,2020-05-12,England,539,1067,
115,2020-05-11,England,174,891,
116,2020-05-10,England,190,1007,
117,2020-05-09,England,226,1349,
118,2020-05-08,England,498,1694,
119,2020-05-07,England,377,2133,
120,2020-05-06,England,529,1611,
121,2020-05-05,England,639,1842,
122,2020-05-04,England,247,1485,
123,2020-05-03,England,222,2019,
124,2020-05-02,England,485,2228,
125,2020-05-01,England,623,2501,
126,2020-04-30,England,543,2484,
127,2020-04-29,England,604,1403,
128,2020-04-28,England,862,1989,
129,2020-04-27,England,289,2264,
130,2020-04-26,England,327,2152,
131,2020-04-25,England,729,2826,
132,2020-04-24,England,821,3004,
133,2020-04-23,England,594,3084,
134,2020-04-22,England,725,3020,
135,2020-04-21,England,1116,3087,
136,2020-04-20,England,536,2401,
137,2020-04-19,England,380,3607,
138,2020-04-18,England,1004,3548,
139,2020-04-17,England,826,3985,
140,2020-04-16,England,906,3118,
141,2020-04-15,England,730,3188,
142,2020-04-14,England,1007,3854,
143,2020-04-13,England,694,2999,
144,2020-04-12,England,604,3672,
145,2020-04-11,England,745,3841,
146,2020-04-10,England,1035,4263,
147,2020-04-09,England,990,3798,
148,2020-04-08,England,922,4788,
149,2020-04-07,England,1009,2978,
150,2020-04-06,England,531,3176,
151,2020-04-05,England,578,5107,
152,2020-04-04,England,689,2910,
153,2020-04-03,England,654,3576,
154,2020-04-02,England,603,3583,
155,2020-04-01,England,613,3630,
156,2020-03-31,England,368,2414,
157,2020-03-30,England,353,2107,
158,2020-03-29,England,195,2060,
159,2020-03-28,England,279,2139,
160,2020-03-27,England,271,2506,
161,2020-03-26,England,169,1809,
162,2020-03-25,England,178,1130,
163,2020-03-24,England,143,1258,
164,2020-03-23,England,67,793,
165,2020-03-22,England,24,535,
166,2020-03-21,England,54,873,
167,2020-03-20,England,32,628,
168,2020-03-19,England,42,574,
169,2020-03-18,England,33,625,
170,2020-03-17,England,15,361,
171,2020-03-16,England,22,97,
172,2020-03-15,England,14,253,
173,2020-03-14,England,18,201,
174,2020-03-13,England,1,159,
175,2020-03-12,England,2,99,
176,2020-03-11,England,0,63,
177,2020-03-10,England,4,46,
178,2020-03-09,England,1,40,
179,2020-03-08,England,0,58,
180,2020-03-07,England,1,39,
181,2020-03-06,England,1,39,
182,2020-03-05,England,0,25,
183,2020-03-04,England,0,32,
184,2020-03-03,England,0,11,
185,2020-03-02,England,0,4,
186,2020-03-01,England,0,12,
187,2020-02-29,England,0,3,
188,2020-02-28,England,0,5,
189,2020-02-27,England,0,0,
190,2020-02-26,England,0,0,
191,2020-02-25,England,0,0,
192,2020-02-24,England,0,4,
193,2020-02-23,England,0,0,
194,2020-02-22,England,0,0,
195,2020-02-21,England,0,0,
196,2020-02-20,England,0,0,
197,2020-02-19,England,0,0,
198,2020-02-18,England,0,0,
199,2020-02-17,England,0,0,
200,2020-02-16,England,0,0,
201,2020-02-15,England,0,0,
202,2020-02-14,England,0,0,
203,2020-02-13,England,0,1,
204,2020-02-12,England,0,0,
205,2020-02-11,England,0,0,
206,2020-02-10,England,0,4,
207,2020-02-09,England,0,1,
208,2020-02-08,England,0,0,
209,2020-02-07,England,0,0,
210,2020-02-06,England,0,1,
211,2020-02-05,England,0,0,
212,2020-02-04,England,0,0,
213,2020-02-03,England,0,0,
214,2020-02-02,England,0,0,
215,2020-02-01,England,0,0,
216,2020-01-31,England,0,2,
217,2020-01-30,England,0,0,
218,2020-01-29,England,0,0,
219,2020-01-28,England,0,0,
220,2020-01-27,England,0,0,
221,2020-01-26,England,0,0,
222,2020-01-25,England,0,0,
223,2020-01-24,England,0,0,
224,2020-01-23,England,0,0,
225,2020-01-22,England,0,0,
226,2020-01-21,England,0,0,
227,2020-01-20,England,0,0,
228,2020-01-19,England,0,0,
229,2020-01-18,England,0,0,
230,2020-01-17,England,0,0,
231,2020-01-16,England,0,0,
232,2020-01-15,England,0,0,
233,2020-01-14,England,0,0,
234,2020-01-13,England,0,0,
235,2020-01-12,England,0,0,
236,2020-01-11,England,0,0,
237,2020-01-10,England,0,0,
238,2020-01-09,England,0,0,
239,2020-01-08,England,0,0,
240,2020-01-07,England,0,0,
241,2020-01-06,England,0,0,
242,2020-01-05,England,0,0,
243,2020-01-04,England,0,0,
244,2020-01-03,England,0,0,
245,2020-09-03,Northern Ireland,1,77,8013.0
246,2020-09-02,Northern Ireland,2,71,6053.0
247,2020-09-01,Northern Ireland,0,49,4350.0
248,2020-08-31,Northern Ireland,0,58,4951.0
249,2020-08-30,Northern Ireland,0,49,4848.0
250,2020-08-29,Northern Ireland,0,89,5735.0
251,2020-08-28,Northern Ireland,0,85,6325.0
252,2020-08-27,Northern Ireland,1,69,6979.0
253,2020-08-26,Northern Ireland,0,72,6410.0
254,2020-08-25,Northern Ireland,0,47,3371.0
255,2020-08-24,Northern Ireland,0,10,2926.0
256,2020-08-23,Northern Ireland,0,119,7646.0
257,2020-08-22,Northern Ireland,0,71,5881.0
258,2020-08-21,Northern Ireland,0,20,3465.0
259,2020-08-20,Northern Ireland,0,51,5177.0
260,2020-08-19,Northern Ireland,0,34,3088.0
261,2020-08-18,Northern Ireland,1,41,3850.0
262,2020-08-17,Northern Ireland,0,39,3340.0
263,2020-08-16,Northern Ireland,0,27,5658.0
264,2020-08-15,Northern Ireland,0,65,6009.0
265,2020-08-14,Northern Ireland,1,74,5597.0
266,2020-08-13,Northern Ireland,0,8,2179.0
267,2020-08-12,Northern Ireland,0,29,3572.0
268,2020-08-11,Northern Ireland,0,48,3402.0
269,2020-08-10,Northern Ireland,1,0,
270,2020-08-09,Northern Ireland,0,0,
271,2020-08-08,Northern Ireland,0,0,
272,2020-08-07,Northern Ireland,0,15,3153.0
273,2020-08-06,Northern Ireland,0,43,3614.0
274,2020-08-05,Northern Ireland,0,10,1779.0
275,2020-08-04,Northern Ireland,0,8,2021.0
276,2020-08-03,Northern Ireland,0,0,
277,2020-08-02,Northern Ireland,0,0,
278,2020-08-01,Northern Ireland,0,0,
279,2020-07-31,Northern Ireland,0,10,1621.0
280,2020-07-30,Northern Ireland,0,8,1973.0
281,2020-07-29,Northern Ireland,0,9,1687.0
282,2020-07-28,Northern Ireland,0,9,1547.0
283,2020-07-27,Northern Ireland,0,0,
284,2020-07-26,Northern Ireland,0,0,
285,2020-07-25,Northern Ireland,0,0,
286,2020-07-24,Northern Ireland,0,15,2020.0
287,2020-07-23,Northern Ireland,0,8,1851.0
288,2020-07-22,Northern Ireland,0,9,1829.0
289,2020-07-21,Northern Ireland,0,2,1579.0
290,2020-07-20,Northern Ireland,0,0,
291,2020-07-19,Northern Ireland,0,0,
292,2020-07-18,Northern Ireland,0,0,
293,2020-07-17,Northern Ireland,0,19,1807.0
294,2020-07-16,Northern Ireland,0,16,1365.0
295,2020-07-15,Northern Ireland,0,9,1315.0
296,2020-07-14,Northern Ireland,0,2,1275.0
297,2020-07-13,Northern Ireland,2,0,
298,2020-07-12,Northern Ireland,0,0,
299,2020-07-11,Northern Ireland,0,0,
300,2020-07-10,Northern Ireland,0,4,1542.0
301,2020-07-09,Northern Ireland,0,3,1777.0
302,2020-07-08,Northern Ireland,0,4,1228.0
303,2020-07-07,Northern Ireland,0,5,1067.0
304,2020-07-06,Northern Ireland,0,0,
305,2020-07-05,Northern Ireland,0,0,
306,2020-07-04,Northern Ireland,0,0,
307,2020-07-03,Northern Ireland,2,4,1508.0
308,2020-07-02,Northern Ireland,1,7,
309,2020-07-01,Northern Ireland,0,1,
310,2020-06-30,Northern Ireland,0,3,
311,2020-06-29,Northern Ireland,1,6,
312,2020-06-28,Northern Ireland,1,1,
313,2020-06-27,Northern Ireland,1,2,
314,2020-06-26,Northern Ireland,1,4,
315,2020-06-25,Northern Ireland,0,1,
316,2020-06-24,Northern Ireland,1,2,
317,2020-06-23,Northern Ireland,1,0,
318,2020-06-22,Northern Ireland,0,1,
